ए	ऎ
बी	 बि
सी	 सि
डी	 डि
ई	 इ
एफ	 ऎफ	एफ् 	ऎफ्
जी	 जि
एच	ऎच	एच्	ऎच्
आई	आइ	ऐ
जे	जॆ
के	कॆ
एल	ऎल	एल्	ऎल्
एम	ऎम	एम्	ऎम्
एन	ऎन	एन्	ऎन्
ओ	ऒ
पी	पि
क्यू	क्यु
आर	आर्
एस	ऎस	एस्	ऎस्
टी	टि
यू	यु
वी	वि	व्ही	व्हि
डब्ल्यू	डब्ल्यु
एक्स	ऎक्स	एक्स् ऎक्स्
वाय	वाय्
जेड	 ज़ेड	जेड्	ज़ेड्
श्री
डॉ
कु
चि
सौ
